,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
5,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,L,0.0,2.0,de Bayern Munich,0.7,2.5,44.0,58951.0,Danilo D'Ambrosio,3-5-2,Clément Turpin,Match Report,,9,2,13.5,0.0,0,0,2023,Internazionale
7,2022-09-13,18:45,Champions Lg,Group stage,Tue,Away,W,2.0,0.0,cz Viktoria Plzeň,1.9,0.3,71.0,11252.0,Marcelo Brozović,3-5-2,Sandro Schärer,Match Report,,19,8,15.1,1.0,0,0,2023,Internazionale
10,2022-10-04,21:00,Champions Lg,Group stage,Tue,Home,W,1.0,0.0,es Barcelona,0.2,0.5,29.0,71368.0,Milan Škriniar,3-5-2,Slavko Vinčič,Match Report,,5,2,23.1,0.0,0,0,2023,Internazionale
12,2022-10-12,21:00,Champions Lg,Group stage,Wed,Away,D,3.0,3.0,es Barcelona,2.0,2.2,39.0,92302.0,Milan Škriniar,3-5-2,Szymon Marciniak,Match Report,,11,8,12.9,0.0,0,0,2023,Internazionale
15,2022-10-26,18:45,Champions Lg,Group stage,Wed,Home,W,4.0,0.0,cz Viktoria Plzeň,3.2,0.1,63.0,71849.0,Milan Škriniar,3-5-2,Andreas Ekberg,Match Report,,22,9,14.5,0.0,0,0,2023,Internazionale
17,2022-11-01,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,de Bayern Munich,0.7,1.5,40.0,75000.0,Lautaro Martínez,3-5-2,Ivan Kružliak,Match Report,,7,4,16.1,0.0,0,0,2023,Internazionale
32,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Home,W,1.0,0.0,pt Porto,1.5,1.6,60.0,75374.0,Lautaro Martínez,3-5-2,Srđan Jovanović,Match Report,Leg 1 of 2,18,4,16.8,1.0,0,0,2023,Internazionale
36,2023-03-14,20:00,Champions Lg,Round of 16,Tue,Away,D,0.0,0.0,pt Porto,0.5,1.7,33.0,48015.0,Lautaro Martínez,3-5-2,Szymon Marciniak,Match Report,Leg 2 of 2; Inter won,11,5,17.9,0.0,0,0,2023,Internazionale
41,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Away,W,2.0,0.0,pt Benfica,1.4,1.6,43.0,62594.0,Marcelo Brozović,3-5-2,Michael Oliver,Match Report,Leg 1 of 2,8,3,19.3,0.0,1,1,2023,Internazionale
43,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Home,D,3.0,3.0,pt Benfica,1.2,0.7,40.0,75380.0,Marcelo Brozović,3-5-2,Carlos del Cerro,Match Report,Leg 2 of 2; Inter won,11,3,17.2,0.0,0,0,2023,Internazionale
49,2023-05-10,21:00,Champions Lg,Semi-finals,Wed,Away,W,2.0,0.0,it Milan,2.0,0.9,42.0,75532.0,Lautaro Martínez,3-5-2,Jesús Gil,Match Report,Leg 1 of 2,16,5,18.5,0.0,0,0,2023,Internazionale
51,2023-05-16,21:00,Champions Lg,Semi-finals,Tue,Home,W,1.0,0.0,it Milan,1.0,0.5,44.0,75567.0,Lautaro Martínez,3-5-2,Clément Turpin,Match Report,Leg 2 of 2; Inter won,15,4,18.8,0.0,0,0,2023,Internazionale
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4.0,0.0,es Sevilla,3.6,0.3,61.0,38764.0,Kevin De Bruyne,4-3-3,Davide Massa,Match Report,,24,9,16.9,1.0,0,0,2023,Manchester City
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,de Dortmund,1.0,0.7,66.0,50441.0,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,,12,3,17.3,0.0,0,0,2023,Manchester City
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5.0,0.0,dk FC Copenhagen,4.3,0.4,75.0,51765.0,İlkay Gündoğan,4-4-2,Donatas Rumšas,Match Report,,29,15,19.2,1.0,1,1,2023,Manchester City
